FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,fire_occurred,large_fire
2005,Ada,28,10272.0,8347.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Bannock,12,8783.9,8282.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Bear Lake,1,1.0,1.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Bingham,16,19628.4,16892.1,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Blaine,7,24944.6,24810.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Boise,1,183.0,183.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Bonneville,8,114.8,93.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Butte,4,40.5,35.5,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Camas,2,153.1,153.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Caribou,1,6.0,6.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Cassia,16,1627.6,588.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Clark,1,827.0,827.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Custer,6,51.6,50.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Elmore,51,20488.5,6969.4,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Fremont,2,5.1,5.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Gem,4,72.3,59.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Gooding,26,1319.0,343.3,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Idaho,2,9705.0,4974.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Jefferson,2,159.4,159.3,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Jerome,32,7841.7,5176.3,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Lemhi,11,42.0,20.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Lincoln,17,8824.0,7284.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Madison,1,0.8,0.8,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Minidoka,6,47657.4,47592.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Nez Perce,1,310.0,310.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Oneida,5,3110.5,3105.6,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Owyhee,30,211227.9,192846.1,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Payette,3,976.0,968.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Power,6,10718.9,10629.5,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Twin Falls,12,8943.5,5849.4,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Washington,2,1259.0,1256.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2006,Ada,28,2236.5,1166.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Bannock,21,100.7,59.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Bear Lake,1,236.4,236.4,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Bingham,7,220414.3,220042.1,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Blaine,4,272.29999999999995,266.9,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Boise,1,324.0,324.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Bonneville,7,1423.7,881.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Butte,3,307.0,300.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Camas,1,12.5,12.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Caribou,1,0.6,0.6,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Cassia,29,13778.3,9041.4,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Clark,3,1686.7,1652.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Clearwater,1,2467.0,2467.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Custer,5,35122.8,35122.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Elmore,59,37152.9,13070.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Fremont,4,11400.9,9676.6,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Gem,4,19.3,17.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Gooding,16,18716.3,11443.1,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Idaho,1,0.2,0.2,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Jefferson,1,3.8,3.8,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Jerome,14,2081.0,673.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Lemhi,11,125.2,53.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Lincoln,23,43453.6,26621.8,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Madison,1,2.2,2.2,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Minidoka,13,5681.200000000001,3905.4,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Oneida,15,38623.9,31568.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Owyhee,42,80582.09999999999,61929.1,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Payette,3,275.0,151.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Power,9,7637.2,4393.4,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Twin Falls,35,1933.9,977.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Washington,9,67432.7,54350.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2007,Ada,114,6557.9,2695.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Adams,1,1.2999999999999998,0.7,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Bannock,16,3390.9,1634.5,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Bear Lake,2,2950.0,2945.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Benewah,1,534.67,505.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Bingham,14,13624.3,9434.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Blaine,13,35895.1,29532.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Boise,1,43.65,20.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Bonner,0,51.400000000000006,16.8,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Bonneville,4,6232.3,6224.6,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Boundary,0,43.54,20.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Butte,4,18.3,16.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Camas,2,5480.0,5280.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Canyon,9,1113.0,512.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Caribou,3,131.8,131.4,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Cassia,40,20890.8,7030.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Clark,5,64.3,29.5,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Clearwater,0,28.8,8.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Custer,4,3.2,2.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Elmore,42,14840.8,5316.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Franklin,4,17119.0,13784.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Fremont,2,1615.0,1011.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Gem,7,4613.5,3962.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Gooding,11,5717.2,3835.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Idaho,3,6237.45,5700.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Jefferson,1,58.0,58.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Jerome,13,276.7,265.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Kootenai,0,85.59,35.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Latah,1,126.49,100.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Lemhi,10,92.3,59.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Lincoln,14,46715.6,45862.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Madison,1,16.6,16.6,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Minidoka,11,4492.3,3003.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Nez Perce,0,155.25,155.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Oneida,9,22419.1,16312.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Owyhee,45,511931.9,367785.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Payette,6,362.0,163.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Power,11,17863.1,9473.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Shoshone,0,51.86,25.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Teton,1,4.0,4.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Twin Falls,20,3353.7,1358.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Valley,0,94.35,80.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Washington,4,11222.0,10238.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2008,Ada,13,540.5,472.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Adams,1,2.05,0.6,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Bannock,10,308.9,264.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Benewah,1,386.63,180.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Bingham,4,1446.9,845.7,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Blaine,6,17149.0,14869.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Boise,3,24.9,18.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Bonner,1,25.22,9.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Bonneville,4,1006.4,986.6,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Boundary,0,16.1,7.5,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,0,0
2008,Butte,18,1428.0,1419.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Camas,2,0.2,0.1,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Canyon,1,0.1,0.1,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Caribou,1,632.0,632.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Cassia,11,653.4,500.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Clark,1,1.1,1.1,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Clearwater,0,99.5,90.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,0,0
2008,Custer,5,1.3,0.5,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Elmore,24,3422.9,2493.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Franklin,2,2.1,2.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Gem,5,58.099999999999994,49.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Gooding,13,6131.2,3847.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Idaho,1,3063.71,2967.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Jefferson,3,36.2,34.2,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Jerome,14,857.8000000000001,449.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Kootenai,0,8.65,2.4,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,0,0
2008,Latah,0,85.1,40.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,0,0
2008,Lemhi,3,4.1,3.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Lincoln,10,855.7,674.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Minidoka,4,31872.2,31616.2,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Nez Perce,0,150.25,150.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,0,0
2008,Oneida,4,2.4,1.5,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Owyhee,18,2002.5,1279.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Payette,1,110.0,110.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Power,1,7831.0,7831.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Shoshone,1,5.96,1.5,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2008,Twin Falls,16,9517.7,6773.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,1
2008,Valley,0,3.25,0.6,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,0,0
2008,Washington,1,14.0,14.0,2008,79.09590771929,94.73489932885906,29.969798657718123,1.941295681063123,8.27937738368033,21.49076923076923,1,0
2009,Ada,86,457.6,293.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Adams,4,0.4,0.1,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Bannock,14,2.8,1.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Bear Lake,1,247.0,247.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Benewah,18,39.1,35.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Bingham,5,21.200000000000003,18.8,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Blaine,5,45.9,29.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Boise,15,7.65,5.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Bonner,71,24.43,4.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Bonneville,2,5.3,5.2,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Boundary,24,7.8,3.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Butte,2,0.2,0.1,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Camas,2,6.2,5.9,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Canyon,2,0.2,0.1,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Caribou,3,288.1,147.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Cassia,27,1081.7,372.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,1
2009,Clark,1,155.0,155.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Clearwater,33,6.96,1.3,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Custer,2,1.3,0.8,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Elmore,21,854.2,436.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Gem,5,1280.6,1262.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,1
2009,Gooding,5,1140.8,1104.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,1
2009,Idaho,21,20.55,10.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Jefferson,1,0.1,0.1,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Jerome,6,259.5,191.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Kootenai,27,66.7,51.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
2009,Latah,7,3.71,2.0,2009,76.97564893547042,93.89795918367346,33.76190476190476,3.849281767955801,5.966241519177397,19.996153846153845,1,0
